track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
57uU61CdGd332Xo2MRpKSI;0.853;0.39;0.243;0.00023;3;0.111;-13.074;1;0.0296;179.642;4;0.145
2m0KqJJR26fsF5BnPS2jQN;0.452;0.625;0.666;1.49e-06;10;0.0726;-11.894;0;0.184;85.29;4;0.715
2dz59LLSr0sHgeJ8kQ3qsk;0.293;0.802;0.806;0.0;9;0.257;-3.891;0;0.0356;104.047;4;0.879
77JbVQIVzAVTHv9J7yzixt;0.497;0.502;0.481;0.0;1;0.106;-9.583;0;0.0291;110.446;4;0.378
45u6ItkGiH4jdiT5RBVrFP;0.0896;0.526;0.43;4.28e-06;9;0.261;-15.124;1;0.0294;89.967;4;0.196
1J9dHcVQkbfwNUc454nHBb;0.645;0.674;0.467;0.0;5;0.0999;-8.459;0;0.771;96.192;4;0.697
7rbO8rMbmJvddwMdDFUGRT;0.000357;0.241;0.944;0.0;11;0.0977;-4.842;1;0.0792;145.878;4;0.371
5deNknuzTGh6olzTfQ4Nha;0.21;0.508;0.438;8.76e-06;1;0.0981;-11.183;1;0.0278;141.178;4;0.256
72NJIixYQDJix98dLT1M4P;0.00161;0.404;0.875;0.9;9;0.0858;-10.192;1;0.0546;136.372;4;0.508
2NmsiWF1X3gIBGU5TcvqJt;0.514;0.619;0.482;0.0;4;0.319;-6.506;1;0.0587;152.444;3;0.844
2KkTfqD7rlBHJuxtXy1fqQ;0.133;0.402;0.642;3.59e-06;8;0.0681;-7.088;0;0.0401;139.96;4;0.387
7G5AQ7ftdykVWxCcZOWHFj;0.251;0.586;0.567;0.0;9;0.161;-8.062;1;0.13;170.386;4;0.704
1gdt6xMCR2yUtZvNufQ973;0.0463;0.36;0.649;0.127;9;0.102;-6.348;1;0.0529;156.007;3;0.406
0lOSx83nRfMoAY0DEyZaMU;0.96;0.313;0.286;0.0272;7;0.108;-12.512;1;0.037;136.82;4;0.192
7IioTKQdnuYom8nZCJ8ns2;0.00516;0.48;0.607;0.232;3;0.256;-8.313;1;0.0264;71.955;4;0.429
3W1KMH0seqYa83PKb1F4ET;0.0754;0.335;0.995;7.79e-06;8;0.141;-2.093;1;0.21;154.846;4;0.274
4XZCfy8sGPMWKGNeuEvxTK;0.0852;0.644;0.734;0.0;9;0.332;-9.381;1;0.336;96.603;4;0.648
7zPRYycX38dwPfgAE0Q9yG;0.064;0.794;0.736;0.000379;7;0.0341;-13.006;1;0.0936;107.267;4;0.598
7rP6FCuxKPhjr4r5QcLc8a;0.836;0.624;0.695;0.0;10;0.11;-9.138;1;0.0377;122.79;4;0.963
4csNAfzk1vfN1ssA0vuRqT;0.00999;0.847;0.82;7.96e-06;0;0.0194;-18.77;1;0.0355;130.029;4;0.98
66O9e2SVq4pgT6xgVxNoVk;0.811;0.105;0.208;0.946;1;0.0807;-16.37;0;0.0424;91.101;3;0.0352
6jk0oOPHcQmouoSvOluzhv;0.524;0.747;0.641;0.0276;11;0.113;-8.684;1;0.0275;108.932;5;0.852
5YASR7q0FaLLNUE6yfzRAO;0.604;0.474;0.468;0.0399;11;0.0707;-11.424;1;0.0543;98.443;4;0.308
2nWmguka87Jrbc0jxznbG8;2.24e-05;0.193;0.955;0.894;2;0.299;-5.101;1;0.121;119.568;4;0.0829
2WaM7JRL2VkqkXpQcBfOmp;0.0893;0.617;0.74;0.0;4;0.242;-5.134;0;0.137;79.078;4;0.663
3OhRW7VpUG9uvHVpETKzGw;0.401;0.701;0.553;0.66;9;0.118;-9.546;0;0.0429;78.949;4;0.799
2q93rWTBRHrcRvR0yRCa4Z;0.0324;0.906;0.754;3.21e-05;8;0.0788;-5.857;0;0.0978;147.997;4;0.962
1Yt6G8OAuFjVaw6ZsdnOUH;0.000262;0.298;0.936;4.31e-05;4;0.21;-3.142;1;0.0724;144.71;4;0.766
0j0FYcqTBX7LdSc3wAw90R;0.64;0.168;0.321;0.912;11;0.108;-18.731;1;0.0483;128.514;3;0.032
5AeARoYmk0okMRWAlPHLzj;0.000987;0.415;0.95;0.000842;9;0.0424;-6.586;0;0.0589;137.076;4;0.279
1tlMFgAtWpLxRsVGpaAL6J;0.00271;0.797;0.523;0.0364;9;0.0618;-12.549;1;0.0721;143.677;4;0.811
4MKuHMHMjoqXLSgqDmwtY6;0.332;0.576;0.486;0.0;5;0.147;-7.694;1;0.0551;135.907;4;0.442
